year,cause,deaths,deaths_lower,deaths_upper
2010,Total cancers,7946179.046001412,7422218.204720276,8229682.610545687
2010,"Tracheal, bronchus, and lung cancer",1553588.2035268175,1435411.1059780712,1645215.8923653418
2010,Tuberculosis,1441290.4688624756,1169437.6441906465,1738585.4104680107
2011,Cardiovascular diseases,15883651.12824837,14829428.889158558,16686405.415430805
2011,Chronic respiratory diseases,3375121.6029545027,2986144.8104271786,3716481.65492823
2011,Diabetes and kidney diseases,2323014.339664263,2111734.37658692,2561856.786177042
2011,Diarrheal diseases,1688790.3078574203,1300555.4049405062,2225514.515642823
2011,Digestive diseases,2238368.7958672037,2019737.0011346368,2487913.262424114
2011,Lower respiratory infections,2443402.95868834,2171059.7921169554,2719352.27329645
2011,Neonatal disorders,2148040.246426803,2038120.2279510535,2253043.388985612
2011,Total cancers,8018815.672591108,7532189.301339618,8337608.55305553
2011,"Tracheal, bronchus, and lung cancer",1581228.5911152975,1459307.961050597,1672326.7432255947
2011,Tuberculosis,1408239.632251679,1142366.669325194,1693035.6954287477
2012,Cardiovascular diseases,16207834.531377053,15208225.37300241,16990489.843731772
2012,Chronic respiratory diseases,3407200.3708215686,3031682.348743726,3770937.4828954665
2012,Diabetes and kidney diseases,2389061.4853730467,2160236.8557237373,2632725.321573258
2012,Diarrheal diseases,1603156.171021734,1221409.341551912,2105489.567523065
2012,Digestive diseases,2244743.2365733227,2022885.150858797,2477916.0745305764
2012,Lower respiratory infections,2459915.520884793,2183250.758600471,2755852.4655679483
2012,Neonatal disorders,2115264.487575669,2005787.1311061375,2216756.383688166
2012,Total cancers,8135379.65345606,7621695.839895523,8448403.442041596
2012,"Tracheal, bronchus, and lung cancer",1603904.186576815,1479169.876216502,1700431.813366585
2012,Tuberculosis,1366220.6842173918,1121409.3741593717,1647769.8185774195
2013,Cardiovascular diseases,16479214.867283216,15369247.914103892,17324234.670147926
2013,Chronic respiratory diseases,3442155.346275662,3080200.328879053,3857116.1265337034
2013,Diabetes and kidney diseases,2461313.4559389893,2234960.768500477,2699141.036843298
2013,Diarrheal diseases,1556843.6410385326,1191281.5517431416,2020236.4326931564
2013,Digestive diseases,2247760.5900338464,2021637.402843021,2468340.058606381
2013,Lower respiratory infections,2488187.30130101,2185690.9820289128,2750399.4788326737
2013,Neonatal disorders,2088148.973817761,1983941.0784245213,2181569.0460208445
2013,Total cancers,8222140.660336258,7693667.749960599,8577240.492143193
2013,"Tracheal, bronchus, and lung cancer",1635412.7061143988,1511052.1130051531,1734734.6961625535
2013,Tuberculosis,1336390.9687195567,1089467.4612602335,1672318.8424089514
2014,Cardiovascular diseases,16684994.914458811,15525403.789446136,17578080.26255141
2014,Chronic respiratory diseases,3479128.900512617,3092765.085824724,3913208.63044782
2014,Diabetes and kidney diseases,2549127.7346530994,2305318.548605814,2778724.6394345444
2014,Diarrheal diseases,1500030.3806447112,1140550.8366703356,1932598.434175934
2014,Digestive diseases,2262650.236906253,2038924.7469317613,2492261.9689417286
2014,Lower respiratory infections,2506729.670377579,2218288.9965591715,2761310.6099244
2014,Neonatal disorders,2056458.8136973197,1956706.7047972493,2156779.08333566
2014,Total cancers,8367073.09670268,7814299.050976082,8725422.580963219
2014,"Tracheal, bronchus, and lung cancer",1667237.664330454,1538672.8031609566,1770184.2438276256
2014,Tuberculosis,1302895.268538616,1064650.8808440736,1620886.826305373
2015,Cardiovascular diseases,17208352.084747426,16001323.110538438,18112386.37971564
2015,Chronic respiratory diseases,3539325.0561433923,3139391.635285442,4006257.4357976927
2015,Diabetes and kidney diseases,2670822.526599698,2420776.0780432126,2895426.565209461
2015,Diarrheal diseases,1440776.40199115,1104404.3882768026,1862310.1241596723
2015,Digestive diseases,2306523.166512417,2071371.7980027832,2526597.8650285318
